X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0
         7.5                    0
        12.5                    0
        17.5                    0
        22.5                    5.28264e-05
        27.5                    0.000792396
        32.5                    0.00248284
        37.5                    0.011252
        42.5                    0.0256208
        47.5                    0.0515586
        52.5                    0.0885899
        57.5                    0.131643
        62.5                    0.177814
        67.5                    0.229161
        72.5                    0.248548
        77.5                    0.277074
        82.5                    0.278976
        87.5                    0.284893
        92.5                    0.271581
        97.5                    0.261702
       102.5                    0.255363
       107.5                    0.226889
       112.5                    0.215373
       117.5                    0.199314
       122.5                    0.178712
       127.5                    0.158109
       132.5                    0.148231
       137.5                    0.128791
       142.5                    0.116852
       147.5                    0.107924
       152.5                    0.100053
       157.5                    0.0833072
       162.5                    0.0787642
       167.5                    0.0693611
       172.5                    0.0653463
       177.5                    0.0527736
       182.5                    0.053566
       187.5                    0.0494455
       192.5                    0.0451666
       197.5                    0.0406763
       202.5                    0.0362389
       207.5                    0.0340202
       212.5                    0.0325939
       217.5                    0.030428
       222.5                    0.0274697
       227.5                    0.0257265
       232.5                    0.0235606
       237.5                    0.0210777
       242.5                    0.0218173
       247.5                    0.0189119
       252.5                    0.020074
       257.5                    0.0189119
       262.5                    0.0153725
       267.5                    0.0157423
       272.5                    0.0137349
       277.5                    0.0120972
       282.5                    0.0117803
       287.5                    0.0110407
       292.5                    0.0105653
       297.5                    0.0100898
       302.5                    0.0101955
       307.5                    0.00771265
       312.5                    0.0096144
       317.5                    0.00797679
       322.5                    0.00802961
       327.5                    0.0066033
       332.5                    0.00586373
       337.5                    0.00628634
       342.5                    0.0058109
       347.5                    0.00554677
       352.5                    0.00533547
       357.5                    0.00427894
       362.5                    0.00396198
       367.5                    0.00364502
       372.5                    0.00369785
       377.5                    0.00412046
       382.5                    0.00269415
       387.5                    0.00353937
       392.5                    0.00274697
       397.5                    0.00311676
       402.5                    0.00216588
       407.5                    0.00237719
       412.5                    0.00206023
       417.5                    0.00190175
       422.5                    0.00147914
       427.5                    0.00169044
       432.5                    0.00142631
       437.5                    0.00153197
       442.5                    0.00158479
       447.5                    0.00132066
       452.5                    0.00163762
       457.5                    0.00147914
       462.5                    0.00073957
       467.5                    0.0010037
       472.5                    0.0010037
       477.5                    0.000845222
       482.5                    0.000845222
       487.5                    0.000792396
       492.5                    0.00142631
       497.5                    0.000845222

 bins are 5 GeV wide 
 The Integral is 26.3297
 Number of entries = 100000
 Number of bins = 100
 Note I am cutting off the first and last bins (over and under flow)
