X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0
         7.5                    0
        12.5                    0
        17.5                    0
        22.5                    0.00338089
        27.5                    0.0234021
        32.5                    0.0577921
        37.5                    0.116852
        42.5                    0.200318
        47.5                    0.287851
        52.5                    0.361702
        57.5                    0.411518
        62.5                    0.415955
        67.5                    0.414846
        72.5                    0.370155
        77.5                    0.332225
        82.5                    0.296673
        87.5                    0.262653
        92.5                    0.228263
        97.5                    0.1869
       102.5                    0.16746
       107.5                    0.140624
       112.5                    0.123878
       117.5                    0.0985212
       122.5                    0.0907558
       127.5                    0.0786585
       132.5                    0.0667197
       137.5                    0.0603806
       142.5                    0.0506605
       147.5                    0.0460118
       152.5                    0.0415744
       157.5                    0.0330693
       162.5                    0.030745
       167.5                    0.0272584
       172.5                    0.0242473
       177.5                    0.0225569
       182.5                    0.0180666
       187.5                    0.0162705
       192.5                    0.0151084
       197.5                    0.0136292
       202.5                    0.0121501
       207.5                    0.0104596
       212.5                    0.00972006
       217.5                    0.0096144
       222.5                    0.00797679
       227.5                    0.00612786
       232.5                    0.00692026
       237.5                    0.00639199
       242.5                    0.00570525
       247.5                    0.00501851
       252.5                    0.0048072
       257.5                    0.00375067
       262.5                    0.00454307
       267.5                    0.00375067
       272.5                    0.00327524
       277.5                    0.00327524
       282.5                    0.00322241
       287.5                    0.00274697
       292.5                    0.00269415
       297.5                    0.00258849
       302.5                    0.00174327
       307.5                    0.00232436
       312.5                    0.00147914
       317.5                    0.00132066
       322.5                    0.00153197
       327.5                    0.0010037
       332.5                    0.00116218
       337.5                    0.00116218
       342.5                    0.00126783
       347.5                    0.00105653
       352.5                    0.000950875
       357.5                    0.00121501
       362.5                    0.00058109
       367.5                    0.000845222
       372.5                    0.000792396
       377.5                    0.000686743
       382.5                    0.00073957
       387.5                    0.00073957
       392.5                    0.000633917
       397.5                    0.00073957
       402.5                    0.000369785
       407.5                    0.000686743
       412.5                    0.000211306
       417.5                    0.000264132
       422.5                    0.000475438
       427.5                    0.000316958
       432.5                    0.000316958
       437.5                    0.000422611
       442.5                    0.000264132
       447.5                    0.000633917
       452.5                    0.000158479
       457.5                    0.000316958
       462.5                    0.000105653
       467.5                    0.000211306
       472.5                    0.000422611
       477.5                    0.000105653
       482.5                    0.000316958
       487.5                    0.000264132
       492.5                    0.000264132
       497.5                    5.28264e-05

 bins are 5 GeV wide 
 The Integral is 26.3979
 Number of entries = 100000
 Number of bins = 100
 Note I am cutting off the first and last bins (over and under flow)
